iter	Passed	Remaining
947	369435	20264
948	369822	19874
949	370210	19484
950	370588	19094
951	370967	18704
952	371349	18314
953	371731	17924
954	372111	17534
955	372495	17144
956	372902	16755
957	373305	16366
958	373698	15976
959	374130	15588
960	374580	15201
961	375071	14815
962	375492	14427
963	375893	14037
964	376300	13648
965	376709	13258
966	377125	12869
967	377591	12482
968	378032	12093
969	378428	11703
970	378847	11314
971	379311	10926
972	379729	10537
973	380169	10148
974	380592	9758
975	381013	9369
976	381448	8979
977	381861	8589
978	382289	8200
979	382706	7810
980	383110	7420
981	383503	7029
982	383897	6639
983	384280	6248
984	384666	5857
985	385063	5467
986	385450	5076
987	385836	4686
988	386225	4295
989	386625	3905
990	387015	3514
991	387409	3124
992	387804	2733
993	388195	2343
994	388588	1952
995	388974	1562
996	389362	1171
997	389737	781
998	390114	390
999	390492	0
